2026-07-25 19:55:08,959 | INFO | knowledge_collector.crawl_progress | Current page: 1 | Pages completed: 0 | Pages remaining: 1 | Queue size: 1 | Visited pages: 0 | Current depth: 0 | Elapsed time: 00:00 | Estimated remaining time: 00:00 | Current URL: https://owasp.org/Top10/2021/A01_2021-Broken_Access_Control/index.html
2026-07-25 19:56:28,012 | INFO | knowledge_collector.crawl_progress | Current page: 64 | Pages completed: 63 | Pages remaining: 585 | Queue size: 585 | Visited pages: 63 | Current depth: 2 | Elapsed time: 01:19 | Estimated remaining time: 12:14 | Current URL: https://owasp.org/Top10/2021/de/A00_2021-How_to_start_an_AppSec_program_with_the_OWASP_Top_10
2026-07-25 19:56:28,750 | INFO | knowledge_collector.crawl_progress | Current page: 65 | Pages completed: 64 | Pages remaining: 584 | Queue size: 584 | Visited pages: 64 | Current depth: 2 | Elapsed time: 01:20 | Estimated remaining time: 12:08 | Current URL: https://owasp.org/Top10/2021/de/0x01_2021-about-owasp
2026-07-25 19:56:29,456 | INFO | knowledge_collector.crawl_progress | Current page: 66 | Pages completed: 65 | Pages remaining: 585 | Queue size: 585 | Visited pages: 65 | Current depth: 2 | Elapsed time: 01:21 | Estimated remaining time: 12:05 | Current URL: https://owasp.org/Top10/2021/de/A02_2021-Cryptographic_Failures
2026-07-25 19:56:30,275 | INFO | knowledge_collector.crawl_progress | Current page: 67 | Pages completed: 66 | Pages remaining: 590 | Queue size: 590 | Visited pages: 66 | Current depth: 2 | Elapsed time: 01:21 | Estimated remaining time: 12:07 | Current URL: https://owasp.org/Top10/2021/de/A03_2021-Injection
2026-07-25 19:56:31,472 | INFO | knowledge_collector.crawl_progress | Current page: 68 | Pages completed: 67 | Pages remaining: 597 | Queue size: 597 | Visited pages: 67 | Current depth: 2 | Elapsed time: 01:23 | Estimated remaining time: 12:15 | Current URL: https://owasp.org/Top10/2021/de/A04_2021-Insecure_Design
2026-07-25 19:56:32,282 | INFO | knowledge_collector.crawl_progress | Current page: 69 | Pages completed: 68 | Pages remaining: 597 | Queue size: 597 | Visited pages: 68 | Current depth: 2 | Elapsed time: 01:23 | Estimated remaining time: 12:12 | Current URL: https://owasp.org/Top10/2021/de/A05_2021-Security_Misconfiguration
2026-07-25 19:56:33,048 | INFO | knowledge_collector.crawl_progress | Current page: 70 | Pages completed: 69 | Pages remaining: 598 | Queue size: 598 | Visited pages: 69 | Current depth: 2 | Elapsed time: 01:24 | Estimated remaining time: 12:09 | Current URL: https://owasp.org/Top10/2021/de/A06_2021-Vulnerable_and_Outdated_Components
2026-07-25 19:56:34,117 | INFO | knowledge_collector.crawl_progress | Current page: 71 | Pages completed: 70 | Pages remaining: 598 | Queue size: 598 | Visited pages: 70 | Current depth: 2 | Elapsed time: 01:25 | Estimated remaining time: 12:08 | Current URL: https://owasp.org/Top10/2021/de/A07_2021-Identification_and_Authentication_Failures
2026-07-25 19:56:35,025 | INFO | knowledge_collector.crawl_progress | Current page: 72 | Pages completed: 71 | Pages remaining: 603 | Queue size: 603 | Visited pages: 71 | Current depth: 2 | Elapsed time: 01:26 | Estimated remaining time: 12:11 | Current URL: https://owasp.org/Top10/2021/de/A08_2021-Software_and_Data_Integrity_Failures
2026-07-25 19:56:36,793 | INFO | knowledge_collector.crawl_progress | Current page: 73 | Pages completed: 72 | Pages remaining: 605 | Queue size: 605 | Visited pages: 72 | Current depth: 2 | Elapsed time: 01:28 | Estimated remaining time: 12:18 | Current URL: https://owasp.org/Top10/2021/de/A09_2021-Security_Logging_and_Monitoring_Failures
2026-07-25 19:56:37,621 | INFO | knowledge_collector.crawl_progress | Current page: 74 | Pages completed: 73 | Pages remaining: 607 | Queue size: 607 | Visited pages: 73 | Current depth: 2 | Elapsed time: 01:29 | Estimated remaining time: 12:17 | Current URL: https://owasp.org/Top10/2021/de/A10_2021-Server-Side_Request_Forgery_%28SSRF%29
2026-07-25 19:56:39,211 | INFO | knowledge_collector.crawl_progress | Current page: 75 | Pages completed: 74 | Pages remaining: 608 | Queue size: 608 | Visited pages: 74 | Current depth: 2 | Elapsed time: 01:30 | Estimated remaining time: 12:22 | Current URL: https://owasp.org/Top10/2021/de/A11_2021-Next_Steps
2026-07-25 19:56:40,214 | INFO | knowledge_collector.crawl_progress | Current page: 76 | Pages completed: 75 | Pages remaining: 608 | Queue size: 608 | Visited pages: 75 | Current depth: 2 | Elapsed time: 01:31 | Estimated remaining time: 12:20 | Current URL: https://owasp.org/www-project-web-security-testing-guide/v42/4-Web_Application_Security_Testing/05-Authorization_Testing/index
2026-07-25 19:56:41,430 | INFO | knowledge_collector.crawl_progress | Current page: 77 | Pages completed: 76 | Pages remaining: 739 | Queue size: 739 | Visited pages: 76 | Current depth: 2 | Elapsed time: 01:32 | Estimated remaining time: 14:59 | Current URL: https://cheatsheetseries.owasp.org/cheatsheets/Authorization_Cheat_Sheet
2026-07-25 19:56:42,167 | INFO | knowledge_collector.crawl_progress | Current page: 78 | Pages completed: 77 | Pages remaining: 738 | Queue size: 738 | Visited pages: 77 | Current depth: 2 | Elapsed time: 01:33 | Estimated remaining time: 14:53 | Current URL: https://owasp.org/Top10/2021/es/A00_2021_Introduction
2026-07-25 19:56:43,222 | INFO | knowledge_collector.crawl_progress | Current page: 79 | Pages completed: 78 | Pages remaining: 737 | Queue size: 737 | Visited pages: 78 | Current depth: 2 | Elapsed time: 01:34 | Estimated remaining time: 14:51 | Current URL: https://owasp.org/Top10/2021/es/0x00_2021-notice
2026-07-25 19:56:43,998 | INFO | knowledge_collector.crawl_progress | Current page: 80 | Pages completed: 79 | Pages remaining: 736 | Queue size: 736 | Visited pages: 79 | Current depth: 2 | Elapsed time: 01:35 | Estimated remaining time: 14:46 | Current URL: https://owasp.org/Top10/2021/es/A00_2021_How_to_use_the_OWASP_Top_10_as_a_standard
2026-07-25 19:56:45,104 | INFO | knowledge_collector.crawl_progress | Current page: 81 | Pages completed: 80 | Pages remaining: 735 | Queue size: 735 | Visited pages: 80 | Current depth: 2 | Elapsed time: 01:36 | Estimated remaining time: 14:43 | Current URL: https://owasp.org/Top10/2021/es/A00_2021-How_to_start_an_AppSec_program_with_the_OWASP_Top_10
2026-07-25 19:56:46,039 | INFO | knowledge_collector.crawl_progress | Current page: 82 | Pages completed: 81 | Pages remaining: 734 | Queue size: 734 | Visited pages: 81 | Current depth: 2 | Elapsed time: 01:37 | Estimated remaining time: 14:40 | Current URL: https://owasp.org/Top10/2021/es/0x01_2021-about-owasp
2026-07-25 19:56:46,743 | INFO | knowledge_collector.crawl_progress | Current page: 83 | Pages completed: 82 | Pages remaining: 734 | Queue size: 734 | Visited pages: 82 | Current depth: 2 | Elapsed time: 01:38 | Estimated remaining time: 14:35 | Current URL: https://owasp.org/Top10/2021/es/A02_2021-Cryptographic_Failures
2026-07-25 19:56:47,843 | INFO | knowledge_collector.crawl_progress | Current page: 84 | Pages completed: 83 | Pages remaining: 733 | Queue size: 733 | Visited pages: 83 | Current depth: 2 | Elapsed time: 01:39 | Estimated remaining time: 14:33 | Current URL: https://owasp.org/Top10/2021/es/A03_2021-Injection
2026-07-25 19:56:48,815 | INFO | knowledge_collector.crawl_progress | Current page: 85 | Pages completed: 84 | Pages remaining: 732 | Queue size: 732 | Visited pages: 84 | Current depth: 2 | Elapsed time: 01:40 | Estimated remaining time: 14:30 | Current URL: https://owasp.org/Top10/2021/es/A04_2021-Insecure_Design
2026-07-25 19:56:49,788 | INFO | knowledge_collector.crawl_progress | Current page: 86 | Pages completed: 85 | Pages remaining: 731 | Queue size: 731 | Visited pages: 85 | Current depth: 2 | Elapsed time: 01:41 | Estimated remaining time: 14:27 | Current URL: https://owasp.org/Top10/2021/es/A05_2021-Security_Misconfiguration
2026-07-25 19:56:50,560 | INFO | knowledge_collector.crawl_progress | Current page: 87 | Pages completed: 86 | Pages remaining: 730 | Queue size: 730 | Visited pages: 86 | Current depth: 2 | Elapsed time: 01:42 | Estimated remaining time: 14:23 | Current URL: https://owasp.org/Top10/2021/es/A06_2021-Vulnerable_and_Outdated_Components
