2026-07-26 15:16:46,044 | INFO     | agent_cyber.memory | Session started id=3 program=test
2026-07-28 06:10:04,794 | INFO     | agent_cyber.learning.incremental_indexer | Incremental scan: 1 new/modified document(s) to process
2026-07-28 06:10:04,931 | INFO     | agent_cyber.learning.incremental_indexer | Incremental scan: 1 new/modified document(s) to process
2026-07-28 06:10:04,965 | INFO     | agent_cyber.learning.incremental_indexer | Incremental scan: 1 new/modified document(s) to process
2026-07-28 06:10:04,988 | WARNING  | agent_cyber.learning.observation_extractor | Non-JSON extraction output for d1, discarding
2026-07-28 06:10:05,200 | INFO     | agent_cyber.learning.playbook_synthesizer | Created NEW playbook 'idor_bola' v1 (confidence=0.265)
2026-07-28 06:10:05,426 | INFO     | agent_cyber.learning.playbook_synthesizer | Created NEW playbook 'idor_bola' v1 (confidence=0.15)
2026-07-28 06:10:05,432 | INFO     | agent_cyber.learning.playbook_synthesizer | Playbook 'idor_bola' evidence updated in place (v1, confidence=0.15)
2026-07-28 06:10:05,587 | INFO     | agent_cyber.learning.playbook_synthesizer | Created NEW playbook 'idor_bola' v1 (confidence=0.15)
2026-07-28 06:10:05,660 | INFO     | agent_cyber.learning.playbook_synthesizer | New version of playbook 'idor_bola': v1 -> v2
2026-07-28 06:10:05,797 | WARNING  | agent_cyber.learning.playbook_synthesizer | No observations found for category=nonexistent_category, skipping synthesis
2026-07-28 06:10:05,921 | INFO     | agent_cyber.learning.experience_store | Experience recorded id=1 category=ssrf outcome=failure
2026-07-28 06:10:05,943 | INFO     | agent_cyber.learning.experience_store | Experience 1 linked to explaining document doc_explaining_waf_bypass
2026-07-28 06:10:06,204 | INFO     | agent_cyber.learning.incremental_indexer | Incremental scan: 1 new/modified document(s) to process
2026-07-28 06:10:06,237 | INFO     | agent_cyber.learning.engine | Indexed idor: 1 observation(s)
2026-07-28 06:10:06,255 | INFO     | agent_cyber.learning.playbook_synthesizer | Created NEW playbook 'idor_bola' v1 (confidence=0.15)
2026-07-28 06:10:06,256 | INFO     | agent_cyber.learning.engine | Learning pipeline complete: {'documents_scanned': 1, 'documents_failed': 0, 'observations_extracted': 1, 'categories_touched': ['idor_bola'], 'playbook_synthesis': [{'category': 'idor_bola', 'changed': True, 'action': 'created', 'version': 1, 'confidence': 0.15}]}
2026-07-28 06:10:06,260 | INFO     | agent_cyber.learning.incremental_indexer | Incremental scan: 0 new/modified document(s) to process
2026-07-28 06:10:06,260 | INFO     | agent_cyber.learning.engine | Learning pipeline complete: {'documents_scanned': 0, 'documents_failed': 0, 'observations_extracted': 0, 'categories_touched': [], 'playbook_synthesis': []}
2026-07-28 06:10:06,418 | INFO     | agent_cyber.learning.playbook_synthesizer | Created NEW playbook 'ssrf' v1 (confidence=0.265)
2026-07-28 06:10:06,432 | INFO     | agent_cyber.learning.experience_store | Experience recorded id=1 category=ssrf outcome=success
2026-07-28 06:10:06,448 | INFO     | agent_cyber.learning.playbook_synthesizer | Playbook 'ssrf' evidence updated in place (v1, confidence=0.312)
2026-07-28 06:21:22,679 | INFO     | agent_cyber.memory | Session started id=4 program=test
2026-07-28 06:21:22,680 | INFO     | agent_cyber.planner.core | --- Cognitive cycle 1 :: goal='Discover and test authentication endpoints' ---
2026-07-28 06:25:51,188 | INFO     | agent_cyber.planner.decision_engine | Decision: tool=katana params={'target': 'scanme.nmap.org'} risk=low approval_required=False reason=To discover web endpoints on the target for potential authentication endpoints
2026-07-28 06:25:51,189 | INFO     | agent_cyber.dispatcher.kali | Dispatching: katana -u scanme.nmap.org -jc -d 3 (timeout=300s)
2026-07-28 06:26:01,206 | ERROR    | agent_cyber.dispatcher.kali | katana timed out after 300s
2026-07-28 06:26:01,495 | INFO     | agent_cyber.memory | Checkpoint saved id=3 session=4
2026-07-28 06:26:01,495 | INFO     | agent_cyber.main | Cycle outcome: {'cycle': 1, 'tool_executed': 'katana', 'exec_status': 'timed_out', 'hypothesis': None, 'verified': False, 'impact_assessment': {'clear_impact': False, 'severity': 'info', 'false_positive_risk': 'unknown', 'reasoning': 'no active hypothesis this cycle'}}
2026-07-28 06:33:10,411 | INFO     | agent_cyber.learning.incremental_indexer | Incremental scan: 569 new/modified document(s) to process
2026-07-28 06:33:10,412 | INFO     | agent_cyber.reasoning.ollama_client | LLM call -> model=qwen3:8b
2026-07-28 06:35:25,190 | INFO     | agent_cyber.learning.engine | Indexed owasp-cheatsheetseries-owasp-org-cheatsheets-c-based-toolchain-hardening-cheat-sheet-html-4bd80ea6265c: 0 observation(s)
2026-07-28 06:35:25,191 | INFO     | agent_cyber.reasoning.ollama_client | LLM call -> model=qwen3:8b
2026-07-28 06:37:01,951 | INFO     | agent_cyber.learning.engine | Indexed owasp-cheatsheetseries-owasp-org-cheatsheets-ci-cd-security-cheat-sheet-html-c435bac501ce: 0 observation(s)
2026-07-28 06:37:01,952 | INFO     | agent_cyber.reasoning.ollama_client | LLM call -> model=qwen3:8b
2026-07-28 06:39:06,915 | INFO     | agent_cyber.learning.engine | Indexed owasp-cheatsheetseries-owasp-org-cheatsheets-clickjacking-defense-cheat-sheet-html-fba716fbd807: 0 observation(s)
2026-07-28 06:39:06,915 | INFO     | agent_cyber.reasoning.ollama_client | LLM call -> model=qwen3:8b
2026-07-28 06:41:23,708 | INFO     | agent_cyber.learning.engine | Indexed owasp-cheatsheetseries-owasp-org-cheatsheets-content-security-policy-cheat-sheet-html-3dd88926ab60: 0 observation(s)
2026-07-28 06:41:23,709 | INFO     | agent_cyber.reasoning.ollama_client | LLM call -> model=qwen3:8b
2026-07-28 06:43:33,605 | INFO     | agent_cyber.learning.engine | Indexed owasp-cheatsheetseries-owasp-org-cheatsheets-cross-site-scripting-prevention-cheat-sheet-html-051db9a3e51f: 0 observation(s)
2026-07-28 06:43:33,606 | INFO     | agent_cyber.reasoning.ollama_client | LLM call -> model=qwen3:8b
2026-07-28 06:45:09,083 | INFO     | agent_cyber.learning.engine | Indexed owasp-cheatsheetseries-owasp-org-cheatsheets-cryptographic-storage-cheat-sheet-html-b2d36fb4b316 (1): 0 observation(s)
2026-07-28 06:45:09,083 | INFO     | agent_cyber.reasoning.ollama_client | LLM call -> model=qwen3:8b
2026-07-28 06:46:36,757 | INFO     | agent_cyber.learning.engine | Indexed owasp-cheatsheetseries-owasp-org-cheatsheets-cryptographic-storage-cheat-sheet-html-b2d36fb4b316: 0 observation(s)
2026-07-28 06:46:36,758 | INFO     | agent_cyber.reasoning.ollama_client | LLM call -> model=qwen3:8b
2026-07-28 06:48:45,404 | INFO     | agent_cyber.learning.engine | Indexed owasp-cheatsheetseries-owasp-org-cheatsheets-database-security-cheat-sheet-html-78e72dae7f81: 0 observation(s)
2026-07-28 06:48:45,404 | INFO     | agent_cyber.reasoning.ollama_client | LLM call -> model=qwen3:8b
2026-07-28 06:50:20,157 | INFO     | agent_cyber.learning.engine | Indexed owasp-cheatsheetseries-owasp-org-cheatsheets-dependency-graph-sbom-cheat-sheet-html-f20b55ba977c: 0 observation(s)
2026-07-28 06:50:20,157 | INFO     | agent_cyber.reasoning.ollama_client | LLM call -> model=qwen3:8b
